Дата / Время,"Напряжение, В",Усредненное значение напряжения,Примечания
2022-11-21 23:57:51,1.593,,
2022-11-22 20:54:35,1.439,*,
2022-11-23 20:55:41,1.414,,
2022-11-24 21:54:57,1.394,,
2022-11-25 21:37:53,1.384,,
2022-11-26 22:16:15,1.378,,
2022-11-27 21:59:55,1.366,,
2022-11-28 21:53:18,1.360,,
2022-11-29 21:24:29,1.347,*,
2022-11-30 22:15:17,1.351,*,
2022-12-01 22:38:12,1.345,*,
2022-12-03 21:09:08,1.339,,
2022-12-04 22:18:37,1.335,,
2022-12-05 22:15:23,1.337,*,
2022-12-06 21:09:58,1.333,,
2022-12-07 21:35:37,1.332,,
2022-12-08 22:14:53,1.329,,
2022-12-09 22:19:16,1.329,,
2022-12-10 22:06:11,1.325,,
2022-12-11 20:06:50,1.326,,
2022-12-12 22:08:02,1.322,,
2022-12-13 22:32:47,1.321,*,
2022-12-14 22:25:37,1.318,*,
2022-12-15 22:15:14,1.315,,
2022-12-16 21:32:02,1.317,,"Отпало и ""отдохнули"", отсюда прирост"
2022-12-17 21:48:54,1.313,,
2022-12-18 21:47:19,1.312,*,
2022-12-19 22:07:46,1.307,,
2022-12-20 21:57:10,1.305,*,
2022-12-21 21:56:39,1.303,,